year,make,model,cond,mileage,price
2012,Toyota,Highlander Limited,,117136,19995
2018,Toyota,Tacoma SR5,,44818,33494
2020,Toyota,RAV4 XLE,,21617,35457
2015,Toyota,Prius Two,,109590,14335
2018,Toyota,RAV4 Limited,,88542,29688
2010,Toyota,Tundra ,,220022,9499
2017,Toyota,Highlander Limited,,57631,33487
2020,Toyota,Corolla SE,,23105,25992
2019,Toyota,Corolla LE,,20214,20290
2020,Toyota,Camry SE,,22253,29998
2018,Toyota,4Runner Limited,,19511,47541
2015,Toyota,RAV4 LE,,51936,21950
2016,Toyota,Camry SE,,64726,19634
2018,Toyota,Highlander Hybrid Limited,,56757,41680
2019,Toyota,Camry SE,,31149,25408
2017,Toyota,Tundra SR5,,47766,40995
2018,Toyota,Tundra Platinum,,16444,54790
2020,Toyota,RAV4 XLE,,44129,27894
2016,Toyota,Camry SE,,61192,18999
2018,Toyota,Camry SE,,45208,21277
2020,Toyota,Highlander Limited,,16238,46296
2020,Toyota,RAV4 XLE,,48031,31990
2017,Toyota,RAV4 LE,,73248,21499
2018,Toyota,RAV4 XLE,,20805,34734
2014,Toyota,Highlander Hybrid Limited,,81700,25500
2013,Toyota,Highlander Limited,,98011,22491
2020,Toyota,Corolla LE,,47452,19075
2017,Toyota,RAV4 Limited,,30041,31999
2021,Toyota,Supra 3.0,,3977,60995
2021,Toyota,Corolla LE,,14718,25475
2015,Toyota,Camry SE,,62467,16888
2014,Toyota,RAV4 Limited,,69240,22591
2017,Toyota,RAV4 Hybrid Limited,,47584,31682
2015,Toyota,RAV4 XLE,,109001,20000
2019,Toyota,Sienna XLE,,83011,30740
2020,Toyota,Highlander XLE,,60101,38159
2017,Toyota,RAV4 LE,,10020,25156
2020,Toyota,RAV4 LE,,18810,32995
2021,Toyota,4Runner SR5 Premium,,8930,49701
2019,Toyota,4Runner Limited,,48642,49158
2007,Toyota,Tundra SR5,,116665,13999
2020,Toyota,Camry SE,,13941,27895
2016,Toyota,Prius Two Eco,,49284,16995
2011,Toyota,Avalon Limited,,105761,14280
2019,Toyota,Corolla LE,,58601,18998
2020,Toyota,Corolla LE,,30221,21900
2019,Toyota,4Runner TRD Off Road Premium,,18655,49998
2018,Toyota,RAV4 Limited,,22201,30642
2017,Toyota,Tundra ,,57308,41995
2006,Toyota,4Runner Sport,,232537,10260
2019,Toyota,Highlander XLE,,21011,38691
2020,Toyota,Tundra SR5,,17475,46550
2021,Toyota,Supra 3.0,,12133,61991
2017,Toyota,Camry SE,,82838,21528
2015,Toyota,RAV4 LE,,63480,21499
2018,Toyota,Highlander XLE,,35700,37990
2020,Toyota,RAV4 LE,,47027,27975
2021,Toyota,Sienna ,,14687,55999
2018,Toyota,4Runner Limited,,34505,42713
2007,Toyota,Tacoma Double Cab,,173723,14485
2014,Toyota,Tacoma Base,,89304,34491
2019,Toyota,RAV4 Limited,,30936,43995
2004,Toyota,Highlander Limited,,175149,6995
2021,Toyota,Highlander Platinum,,2918,50191
2018,Toyota,4Runner SR5 Premium,,62599,39987
2021,Toyota,Tundra SR,,15559,38981
2020,Toyota,C-HR LE,,16785,29995
2018,Toyota,RAV4 LE,,14344,27955
2020,Toyota,RAV4 LE,,13944,31000
2021,Toyota,Highlander Platinum,,14145,51990
2019,Toyota,Camry SE,,20065,28898
2017,Toyota,Highlander LE Plus,,63516,29950
